[BEGIN] 12/6/2019 3:34:15 PM
[  390.869634] (0)-2539	[[HDMI][PWR][WARN]] PWR_STS : FG_HDMI=1, P0/P1/P2/P3(active,fsm,vs_cnt,pol,int) =  P0(0,PS_OFF,0,0,0)/P1(0,PS_OFF,0,0,0)/P2(0,PS_OFF,0,0,0)/P3(1,PS_OFF,21056,1,0)
[  401.255990] (3)-0000	part3,0,0,0,0,2,7,9,2,6,1,14,19,69,60,28,6,3,1,0,0,
[  401.256015] (3)-0000	part4,79,539,741,474,205,64,68,30,15,6,3,0,0,0,0,0,0,0,0,0,
[  401.256041] (3)-0000	part5,16,38,186,135,101,51,29,6,2,1,4,1,9,0,0,0,0,0,0,0,
[  402.255902] part1,0,0,0,0,0,0,3,3,6,2,1,0,0,0,0,0,0,0,0,0,
[  402.261755] part2,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,
[  402.267558] part3,4,2,25,28,29,16,6,3,8,3,13,23,103,51,25,6,1,0,1,0,
[  402.274251] part4,312,1396,1185,476,224,75,80,22,4,3,2,1,3,0,0,0,1,0,0,0,
[  402.281385] part5,16,72,226,125,86,56,28,7,6,1,6,1,5,0,0,0,0,0,0,0,
[  403.289256] part1,19,358,210,87,30,13,8,3,1,2,0,1,0,0,0,0,0,0,0,0,
[  403.295803] part2,52,240,366,98,45,16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,
[  403.302309] part3,351,2381,2950,1220,528,224,95,44,25,20,9,11,9,3,0,0,0,0,0,0,
[  403.309882] part4,151,887,2078,677,315,140,80,23,12,2,2,1,0,0,0,0,0,0,0,0,
[  403.317106] part5,28,108,218,98,22,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,
[  404.322605] part1,10,376,192,81,19,7,6,4,0,1,1,0,0,0,0,0,0,0,0,0,
[  404.329066] part2,66,516,811,213,60,23,6,2,0,1,0,0,0,0,0,0,0,0,0,0,
[  404.335658] part3,273,2374,3129,1015,446,165,68,18,13,16,12,7,5,7,1,1,0,0,0,0,
[  404.343238] part4,94,623,2104,653,240,100,53,24,8,5,8,4,0,0,0,0,0,0,0,0,
[  404.350285] part5,2,12,67,33,15,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
[  405.355941] part1,9,359,177,77,17,13,6,2,5,1,1,1,0,0,0,0,0,0,0,0,
[  405.362393] part2,132,651,825,179,87,20,7,2,0,0,0,0,0,0,0,0,0,0,0,0,
[  405.369077] part3,324,2840,3177,1136,512,172,77,33,17,14,11,8,5,1,2,0,1,0,0,0,
[  405.376656] part4,186,1109,2747,881,378,142,88,40,16,8,4,1,3,0,0,0,0,0,0,0,
[  405.383956] part5,7,28,136,66,27,8,4,1,2,1,1,0,0,0,0,0,0,0,0,0,
[  406.389321] part1,12,355,238,79,20,17,3,1,1,0,1,0,0,0,0,0,0,0,0,0,
[  406.395853] part2,36,469,450,110,45,16,6,0,1,2,0,0,0,0,0,0,0,0,0,0,
[  406.402463] part3,278,2158,3272,1137,550,220,99,44,33,12,10,10,5,2,3,2,2,0,0,0,
[  406.410132] part4,103,588,2258,857,267,130,54,26,16,7,8,3,1,0,0,0,0,0,0,0,
[  406.417357] part5,3,11,96,44,15,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,
[  406.741074] (1)-2541	[[HDMI][AUDIOF]] Audio STS : FSM=5(CHECK), hbr=0/0, sample_cnt= 18632, hbr_sample_cnt=0, fifo_ov=0, type=2(LPCM), ch_mode=0, ch_num=2, acr_freq=48000, wait_acr_cnt=1
[  407.422633] part1,34,405,924,691,468,169,153,41,24,8,6,0,0,1,0,0,0,0,0,0,
[  407.429784] part2,86,539,1124,780,519,229,170,54,17,5,2,0,0,0,0,0,0,0,0,0,
[  407.437006] part3,108,305,655,1045,833,402,357,146,135,51,36,2,16,3,17,4,13,2,1,0,
[  407.444926] part4,71,1267,1878,1321,939,398,310,104,100,28,29,11,6,4,3,1,0,3,0,2,
[  407.452756] part5,145,1192,2997,1622,697,311,161,67,45,24,19,13,7,1,0,1,1,0,0,0,
[  408.455975] part1,50,400,1015,728,455,174,130,52,23,6,11,1,1,0,0,0,0,0,0,0,
[  408.463293] part2,84,637,1517,933,586,206,188,80,40,15,12,2,2,0,0,0,0,0,0,0,
[  408.470692] part3,36,308,1126,1478,1072,467,340,125,91,24,22,5,9,3,15,1,10,0,3,0,
[  408.478520] part4,122,2425,2301,1301,742,407,232,104,88,30,24,9,10,3,1,3,2,0,1,1,
[  408.486348] part5,190,1819,3327,1536,640,242,154,67,34,16,17,9,6,2,0,0,0,0,0,0,

[END] 12/6/2019 3:35:04 PM
